ID	KSH	ISZ	MEGYE_ID	MEGYE	TELEPULES
1	17376	8127	6	Fejér	Aba
2	17376	8128	6	Fejér	Aba
3	12441	5241	10	Jász-Nagykun-Szolnok	Abádszalók
4	12548	7678	2	Baranya	Abaliget
5	24554	3261	9	Heves	Abasár
6	15662	3882	4	Borsod-Abaúj-Zemplén	Abaújalpár
7	26718	3882	4	Borsod-Abaúj-Zemplén	Abaújkér
8	2820	3815	4	Borsod-Abaúj-Zemplén	Abaújlak
9	3595	3881	4	Borsod-Abaúj-Zemplén	Abaújszántó
10	26338	3809	4	Borsod-Abaúj-Zemplén	Abaújszolnok
11	2273	3898	4	Borsod-Abaúj-Zemplén	Abaújvár
12	11882	9151	7	Gyõr-Moson-Sopron	Abda
13	10357	3753	4	Borsod-Abaúj-Zemplén	Abod
14	27872	2740	13	Pest	Abony
15	4561	8256	18	Veszprém	Ábrahámhegy
16	4428	2941	11	Komárom-Esztergom	Ács
17	18573	2683	13	Pest	Acsa
18	7214	9746	17	Vas	Acsád
19	33385	9168	7	Gyõr-Moson-Sopron	Acsalag
20	18139	2887	11	Komárom-Esztergom	Ácsteszér
21	23241	3292	9	Heves	Adács
22	6080	8653	14	Somogy	Ádánd
23	7302	8561	18	Veszprém	Adásztevel
24	8925	2457	6	Fejér	Adony
25	31307	8497	18	Veszprém	Adorjánháza
26	6868	7841	2	Baranya	Adorjás
27	25812	7381	2	Baranya	Ág
28	17686	6076	1	Bács-Kiskun	Ágasegyháza
29	4880	9423	7	Gyõr-Moson-Sopron	Ágfalva
30	9362	3759	4	Borsod-Abaúj-Zemplén	Aggtelek
31	29407	9441	7	Gyõr-Moson-Sopron	Agyagosszergény
32	8776	4524	15	Szabolcs-Szatmár-Bereg	Ajak
33	6673	8400	18	Veszprém	Ajka
34	6673	8447	18	Veszprém	Ajka
35	6673	8448	18	Veszprém	Ajka
36	6673	8451	18	Veszprém	Ajka
37	6682	2862	11	Komárom-Esztergom	Aka
38	21944	6221	1	Bács-Kiskun	Akasztó
39	33093	3779	4	Borsod-Abaúj-Zemplén	Alacska
40	26824	7011	6	Fejér	Alap
41	25265	5142	10	Jász-Nagykun-Szolnok	Alattyán
42	31653	2730	13	Pest	Albertirsa
43	15176	8087	6	Fejér	Alcsútdoboz
44	6345	3353	9	Heves	Aldebrõ
45	34245	6750	5	Csongrád	Algyõ
46	2644	8921	19	Zala	Alibánfa
47	13329	7934	2	Baranya	Almamellék
48	32346	2931	11	Komárom-Esztergom	Almásfüzitõ
49	23384	8935	19	Zala	Almásháza
50	29595	5747	3	Békés	Almáskamarás
51	20376	7932	2	Baranya	Almáskeresztúr
52	27641	4285	8	Hajdú-Bihar	Álmosd
53	20482	3985	4	Borsod-Abaúj-Zemplén	Alsóberecki
54	34184	7443	14	Somogy	Alsóbogát
55	19664	3717	4	Borsod-Abaúj-Zemplén	Alsódobsza
56	14429	3837	4	Borsod-Abaúj-Zemplén	Alsógagy
57	17385	7345	2	Baranya	Alsómocsolád
58	29665	7147	16	Tolna	Alsónána
59	23199	2351	13	Pest	Alsónémedi
60	19512	8924	19	Zala	Alsónemesapáti
61	11563	7148	16	Tolna	Alsónyék
62	32081	8394	19	Zala	Alsópáhok
63	16425	2617	12	Nógrád	Alsópetény
64	18829	8767	19	Zala	Alsórajk
65	23223	3989	4	Borsod-Abaúj-Zemplén	Alsóregmec
66	8767	8973	19	Zala	Alsószenterzsébet
67	25283	7012	6	Fejér	Alsószentiván
68	33279	7826	2	Baranya	Alsószentmárton
69	28839	3726	4	Borsod-Abaúj-Zemplén	Alsószuha
70	22549	9983	17	Vas	Alsószölnök
71	8217	3735	4	Borsod-Abaúj-Zemplén	Alsótelekes
72	7621	3069	12	Nógrád	Alsótold
73	22725	9842	17	Vas	Alsóújlak
74	29814	3811	4	Borsod-Abaúj-Zemplén	Alsóvadász
75	21032	3571	4	Borsod-Abaúj-Zemplén	Alsózsolca
76	30526	8226	18	Veszprém	Alsóörs
77	16197	6916	5	Csongrád	Ambrózfalva
78	29975	4546	15	Szabolcs-Szatmár-Bereg	Anarcs
79	28714	8675	14	Somogy	Andocs
80	17987	3399	9	Heves	Andornaktálya
81	12317	9811	17	Vas	Andrásfa
82	34227	2529	11	Komárom-Esztergom	Annavölgy
83	28370	8477	18	Veszprém	Apácatorna
84	20303	4553	15	Szabolcs-Szatmár-Bereg	Apagy
85	33561	2345	13	Pest	Apaj
86	26125	7186	16	Tolna	Aparhant
87	14252	6931	5	Csongrád	Apátfalva
88	8873	9982	17	Vas	Apátistvánfalva
89	27298	7720	2	Baranya	Apátvarasd
90	7241	3032	9	Heves	Apc
91	10108	2338	13	Pest	Áporka
92	21148	6088	1	Bács-Kiskun	Apostag
93	9353	4634	15	Szabolcs-Szatmár-Bereg	Aranyosapáti
94	6886	7671	2	Baranya	Aranyosgadány
95	26198	3885	4	Borsod-Abaúj-Zemplén	Arka
96	14331	3663	4	Borsod-Abaúj-Zemplén	Arló
97	3771	3713	4	Borsod-Abaúj-Zemplén	Arnót
98	3823	3467	4	Borsod-Abaúj-Zemplén	Ároktõ
99	19062	6623	5	Csongrád	Árpádhalom
100	32249	9132	7	Gyõr-Moson-Sopron	Árpás
101	3319	4115	8	Hajdú-Bihar	Ártánd
102	10339	6783	5	Csongrád	Ásotthalom
103	26921	9177	7	Gyõr-Moson-Sopron	Ásványráró
104	4233	3841	4	Borsod-Abaúj-Zemplén	Aszaló
105	23852	2881	11	Komárom-Esztergom	Ászár
106	16188	2170	13	Pest	Aszód
107	7339	8241	18	Veszprém	Aszófõ
108	28583	7763	2	Baranya	Áta
109	6503	3371	9	Heves	Átány
110	16090	3213	9	Heves	Atkár
111	32735	7252	16	Tolna	Attala
112	5403	7757	2	Baranya	Babarc
113	9663	7814	2	Baranya	Babarcszõlõs
114	30474	7584	14	Somogy	Babócsa
115	19363	2943	11	Komárom-Esztergom	Bábolna
116	28316	8658	14	Somogy	Bábonymegyer
117	21263	8983	19	Zala	Babosdöbréte
118	15042	9351	7	Gyõr-Moson-Sopron	Babót
119	10719	6430	1	Bács-Kiskun	Bácsalmás
120	10180	6453	1	Bács-Kiskun	Bácsbokod
121	27234	6454	1	Bács-Kiskun	Bácsborsód
122	8697	6511	1	Bács-Kiskun	Bácsszentgyörgy
123	30155	6425	1	Bács-Kiskun	Bácsszõlõs
124	22327	8257	18	Veszprém	Badacsonytomaj
125	22327	8258	18	Veszprém	Badacsonytomaj
126	22327	8261	18	Veszprém	Badacsonytomaj
127	3267	8262	18	Veszprém	Badacsonytördemic
128	3267	8263	18	Veszprém	Badacsonytördemic
129	9131	2191	13	Pest	Bag
130	20011	4286	8	Hajdú-Bihar	Bagamér
131	11059	8977	19	Zala	Baglad
132	30368	8992	19	Zala	Bagod
133	28769	9145	7	Gyõr-Moson-Sopron	Bágyogszovát
134	29212	2836	11	Komárom-Esztergom	Baj
135	3522	6500	1	Bács-Kiskun	Baja
136	3522	6503	1	Bács-Kiskun	Baja
137	17020	9944	17	Vas	Bajánsenye
138	16744	2525	11	Komárom-Esztergom	Bajna
139	29355	2533	11	Komárom-Esztergom	Bajót
140	4738	8945	19	Zala	Bak
141	14395	7585	14	Somogy	Bakháza
142	22275	7393	2	Baranya	Bakóca
143	15167	4164	8	Hajdú-Bihar	Bakonszeg
144	8299	7675	2	Baranya	Bakonya
145	24244	2885	11	Komárom-Esztergom	Bakonybánk
146	23746	8427	18	Veszprém	Bakonybél
147	8730	8056	6	Fejér	Bakonycsernye
148	28936	8433	7	Gyõr-Moson-Sopron	Bakonygyirót
149	29513	8581	18	Veszprém	Bakonyjákó
150	7287	8571	18	Veszprém	Bakonykoppány
151	23153	8045	6	Fejér	Bakonykúti
